id,created_at,text,likes,in reply to,retweeted
1430568370135515136,2021-08-25 16:30:52+00:00,"Last night, the John Lewis Voting Rights Advancement Act passed in the House of Representatives. Today, I’m celebra… https://t.co/Fz9UkW7Wnc",15497,,False
1428770711183765504,2021-08-20 17:27:37+00:00,RT @girlsalliance: A devastating earthquake in Haiti has claimed thousands of lives and left even more injured or displaced. If you’re look…,0,,False
1425590913959612419,2021-08-11 22:52:14+00:00,RT @girlsalliance: We're so proud of the four organizations in our Girls Opportunity Alliance Network who were awarded $3 million from @Jac…,0,,False
1423297837870288900,2021-08-05 15:00:22+00:00,"As we mark the 56th anniversary of the Voting Rights Act of 1965, @StaceyAbrams and I are calling on you to reach o… https://t.co/d33FIf2IlU",9538,,False
1422994065767927809,2021-08-04 18:53:17+00:00,"RT @ObamaFoundation: 🎉 Happy Birthday, @BarackObama!
 
President Obama has always enjoyed hearing about the good work people are doing to m…",0,,False
1422912784136916996,2021-08-04 13:30:18+00:00,"Of all of your accomplishments, I know that being a present, loving father to our girls tops them all. Thank you fo… https://t.co/jOZF0zgwhz",201294,,False
1420784213029175303,2021-07-29 16:32:07+00:00,"Happy birthday to the woman who taught me how to think for myself, use my voice, and show up authentically in this… https://t.co/jeVW00oKFX",89274,,False
1420202408215564288,2021-07-28 02:00:14+00:00,"Am I good enough? Yes, I am. The mantra I practice daily. @Simone_Biles, we are proud of you and we are rooting for… https://t.co/r7c5RWaK89",165812,,False
1419452462948306944,2021-07-26 00:20:13+00:00,"RT @BarackObama: Bob Moses was a hero of mine. His quiet confidence helped shape the civil rights movement, and he inspired generations of…",0,,False
1418715165097349125,2021-07-23 23:30:28+00:00,"I know how hard all of the athletes on Team USA have worked to make it to the @Olympics in Tokyo, and I can't wait… https://t.co/3LC24PuGRi",20397,,False
1416412674875920386,2021-07-17 15:01:12+00:00,"Everyone deserves to have their voices heard and their votes counted, and I can’t think of a better way to honor Co… https://t.co/8EJroUxjvz",4649,MichelleObama,False
1416412673848270852,2021-07-17 15:01:11+00:00,"All across our country, the sacred right to vote that he marched and bled for is being threatened. That’s why we’ve… https://t.co/JYTtaMIJ2x",4650,MichelleObama,False
1416412672376061954,2021-07-17 15:01:11+00:00,"A year ago today, we lost Congressman John Lewis. As we celebrate the king of good trouble—his legacy of perseveran… https://t.co/b5NzRKy3f9",19595,,False
1414934454079049728,2021-07-13 13:07:16+00:00,I'm excited to announce that Philadelphia will be our next partner city for our Pass the Love campaign with… https://t.co/HK7WTQYBor,5236,,False
1414608326994939914,2021-07-12 15:31:21+00:00,"During quarantine, I picked up knitting as a hobby—and discovered how fulfilling it can be to turn small stitches i… https://t.co/0FFzTEhh5D",6209,,False
1414570335794573313,2021-07-12 13:00:24+00:00,"Wishing a very happy birthday to @Malala! As she often points out, there are so many girls like her all around the… https://t.co/zQcOMA3eCJ",24266,,False
1413589543975018508,2021-07-09 20:03:05+00:00,"Barack and I had a great time speaking with @chrisdocnee, @pramsey342, and @HERMusicx about We The People, our late… https://t.co/4FRGFzECiH",3242,,False
1413492138038284292,2021-07-09 13:36:01+00:00,"Yes, Zaila! We are so, so proud of you! 👏🏾

 https://t.co/rp0gI4B5BE",63196,,False
1411675273318342657,2021-07-04 13:16:27+00:00,"Happy Fourth of July, everybody—and also, happy 23rd birthday to our dear Malia! It’s been a few years since we too… https://t.co/0llRAw126J",81318,,False
1410715048952086534,2021-07-01 21:40:52+00:00,RT @girlsalliance: We are heartened to see leaders around the world bringing such significant investments to the table to support gender eq…,0,,False
