Latitude,Longitude
40.74743,-73.96761
40.74137,-73.95052
40.73803,-73.99841
40.76953,-73.98827
40.68,-73.87434
40.79462,-73.9217
40.76355,-73.95341
40.73606,-73.97505
40.73643,-73.92909
40.64469,-73.79637
40.74823,-73.97034
40.74556,-73.97774
40.77167,-73.87589
40.73485,-73.98
40.74085,-73.98165
40.74,-73.94288
40.6773,-73.80295
40.77936,-73.95068
40.72259,-73.97436
40.81598,-73.94527
40.76948,-73.98458
40.76696,-73.99653
40.72214,-73.98731
40.75944,-73.99192
40.71405,-73.97681
40.75889,-73.94462
40.6912,-73.99913
40.7458,-73.96517
40.6998,-73.94719
40.73521,-73.97493
40.75772,-73.95646
40.67052,-73.9575
40.76822,-73.90466
40.78935,-73.93939
40.73525,-73.9748
40.73795,-74.00647
40.73523,-73.72336
40.77344,-73.94896
40.82433,-73.85242
40.76349,-73.99912
40.7432,-73.98764
40.73853,-73.9785
40.72847,-74.0039
40.73556,-74.00326
40.78586,-73.94885
40.74347,-74.00725
40.7294,-74.00235
40.73512,-73.99155
40.67037,-73.84719
40.73278,-74.0102
40.79003,-73.98184
40.763,-73.97805
40.744,-73.98781
40.76397,-73.98232
40.72478,-73.98735
40.72723,-73.97179
40.73474,-74.00312
40.73569,-74.00236
40.76066,-73.96058
40.75763,-73.9665
40.76059,-73.99478
40.74781,-73.99666
40.7448,-73.98512
40.71967,-73.97489
40.72531,-73.98734
40.74236,-73.99914
40.72674,-73.98304
40.75376,-73.94736
40.74725,-73.99706
40.84738,-73.93462
40.7361,-73.91099
40.72935,-74.00157
40.72527,-73.97271
40.75342,-73.96352
40.75867,-73.96589
40.7358,-74.00156
40.72643,-73.98615
40.74087,-74.00521
40.71189,-73.98496
40.73556,-73.85948
40.74594,-73.97288
40.71688,-73.98263
40.7648,-73.99787
40.75378,-73.96303
40.84799,-73.93461
40.77324,-73.95484
40.79303,-73.97971
40.73646,-73.97752
40.76297,-73.98937
40.71611,-73.95073
40.72153,-73.9842
40.73393,-74.00629
40.72885,-73.97167
40.73548,-73.9748
40.72591,-73.98965
40.76492,-73.95219
40.85188,-73.93187
40.75102,-73.93461
40.7428,-73.82974
40.75652,-73.98811
40.70944,-73.99378
40.75616,-73.9403
40.74885,-73.96731
40.74218,-73.95841
40.72442,-73.99318
40.72508,-73.99952
40.73153,-74.004
40.74396,-73.98942
40.83932,-73.93287
40.76071,-73.96068
